,Groupe A,Groupe B,Moy. A (M),Moy. B (M),Diff (%),p-value,p (Bonferroni),Sig. corrigé
0,1,2,2.712,3.632,33.9,0.13678,1.0,Non ✗
1,1,3,2.712,4.955,82.66,0.041,0.61505,Non ✗
2,1,4,2.712,5.73,111.24,0.02808,0.4212,Non ✗
3,1,5,2.712,5.82,114.55,0.12121,1.0,Non ✗
4,1,6,2.712,4.792,76.65,0.33333,1.0,Non ✗
5,2,3,3.632,4.955,36.41,0.0,0.0,Oui ✓
6,2,4,3.632,5.73,57.76,0.0,0.0,Oui ✓
7,2,5,3.632,5.82,60.24,0.00153,0.02293,Oui ✓
8,2,6,3.632,4.792,31.92,0.27706,1.0,Non ✗
9,3,4,4.955,5.73,15.65,0.00766,0.11488,Non ✗
10,3,5,4.955,5.82,17.46,0.25405,1.0,Non ✗
11,3,6,4.955,4.792,-3.29,0.96112,1.0,Non ✗
12,4,5,5.73,5.82,1.57,0.85276,1.0,Non ✗
13,4,6,5.73,4.792,-16.38,0.66602,1.0,Non ✗
14,5,6,5.82,4.792,-17.67,0.60606,1.0,Non ✗
